iterations, time, cart::mass[REAL], cart::mass_pendulum[REAL], cart::length_pendulum[REAL], cart::initial_velocity[REAL], cart::initial_position[REAL], cart::velocity[REAL], cart::position[REAL], cart::acceleration[REAL], cart::force_pendulum[REAL], cart::force[REAL], pendulum::angular_velocity[REAL], pendulum::mass[REAL], pendulum::acceleration[REAL], pendulum::length[REAL], pendulum::initial_angle[REAL], pendulum::angle[REAL], pendulum::initial_angular_velocity[REAL], pendulum::force[REAL], pendulum::cart_acceleration[REAL], regulator::angular_velocity[REAL], regulator::k1[REAL], regulator::angle[REAL], regulator::k2[REAL], regulator::k3[REAL], regulator::velocity[REAL], regulator::position[REAL], regulator::k4[REAL], regulator::force[REAL]
0, 0, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.100000, 0.000000, 1.000000, 0.349066, 0.349066, 0.000000, 0.000000, 0.000000, 0.000000, -15.000000, 0.349066, -15.000000, -30.000000, 0.000000, 0.000000, -10.000000, 0.000000
1, 0.01, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.315210, 5.235988, 0.033552, 0.100000, 3.355218, 1.000000, 0.349066, 0.349401, 0.000000, -0.315210, 0.000000, 0.033552, -15.000000, 0.349401, -15.000000, -30.000000, 0.000000, 0.000000, -10.000000, 5.235988
2, 0.02, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.044734, 0.000447, 4.473434, -0.315308, 5.744303, 0.067135, 0.100000, 3.358310, 1.000000, 0.349066, 0.350073, 0.000000, -0.315308, 4.473434, 0.067135, -15.000000, 0.350073, -15.000000, -30.000000, 0.044734, 0.000447, -10.000000, 5.744303
3, 0.03, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.049355, 0.000494, 4.935451, 0.078783, 6.718884, 0.058759, 0.100000, -0.837613, 1.000000, 0.349066, 0.350660, 0.000000, 0.078783, 4.935451, 0.058759, -15.000000, 0.350660, -15.000000, -30.000000, 0.049355, 0.000494, -10.000000, 6.718884
4, 0.04, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.061797, 0.000618, 6.179697, 0.118874, 6.649643, 0.046107, 0.100000, -1.265197, 1.000000, 0.349066, 0.351121, 0.000000, 0.118874, 6.179697, 0.046107, -15.000000, 0.351121, -15.000000, -30.000000, 0.061797, 0.000618, -10.000000, 6.649643
5, 0.05, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.061532, 0.000615, 6.153197, 0.228031, 6.594937, 0.021822, 0.100000, -2.428499, 1.000000, 0.349066, 0.351340, 0.000000, 0.228031, 6.153197, 0.021822, -15.000000, 0.351340, -15.000000, -30.000000, 0.061532, 0.000615, -10.000000, 6.594937
6, 0.06, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.062027, 0.000620, 6.202699, 0.225448, 6.231206, -0.002189, 0.100000, -2.401145, 1.000000, 0.349066, 0.351318, 0.000000, 0.225448, 6.202699, -0.002189, -15.000000, 0.351318, -15.000000, -30.000000, 0.062027, 0.000620, -10.000000, 6.231206
7, 0.07, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.058697, 0.000587, 5.869686, 0.229882, 5.875805, -0.026668, 0.100000, -2.447871, 1.000000, 0.349066, 0.351051, 0.000000, 0.229882, 5.869686, -0.026668, -15.000000, 0.351051, -15.000000, -30.000000, 0.058697, 0.000587, -10.000000, 5.875805
8, 0.08, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.055506, 0.000555, 5.550625, 0.200893, 5.470324, -0.048050, 0.100000, -2.138193, 1.000000, 0.349066, 0.350571, 0.000000, 0.200893, 5.550625, -0.048050, -15.000000, 0.350571, -15.000000, -30.000000, 0.055506, 0.000555, -10.000000, 5.470324
9, 0.09, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.051557, 0.000516, 5.155652, 0.173372, 5.109524, -0.066489, 0.100000, -1.843934, 1.000000, 0.349066, 0.349906, 0.000000, 0.173372, 5.155652, -0.066489, -15.000000, 0.349906, -15.000000, -30.000000, 0.051557, 0.000516, -10.000000, 5.109524
10, 0.1, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.048026, 0.000480, 4.802632, 0.139326, 4.782278, -0.081292, 0.100000, -1.480288, 1.000000, 0.349066, 0.349093, 0.000000, 0.139326, 4.802632, -0.081292, -15.000000, 0.349093, -15.000000, -30.000000, 0.048026, 0.000480, -10.000000, 4.782278
11, 0.11, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.044742, 0.000447, 4.474186, 0.109098, 4.511680, -0.092867, 0.100000, -1.157489, 1.000000, 0.349066, 0.348164, 0.000000, 0.109098, 4.474186, -0.092867, -15.000000, 0.348164, -15.000000, -30.000000, 0.044742, 0.000447, -10.000000, 4.511680
12, 0.12, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.042007, 0.000420, 4.200708, 0.081110, 4.290297, -0.101455, 0.100000, -0.858835, 1.000000, 0.349066, 0.347150, 0.000000, 0.081110, 4.200708, -0.101455, -15.000000, 0.347150, -15.000000, -30.000000, 0.042007, 0.000420, -10.000000, 4.290297
13, 0.13, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.039740, 0.000397, 3.974007, 0.058018, 4.118085, -0.107581, 0.100000, -0.612574, 1.000000, 0.349066, 0.346074, 0.000000, 0.058018, 3.974007, -0.107581, -15.000000, 0.346074, -15.000000, -30.000000, 0.039740, 0.000397, -10.000000, 4.118085
14, 0.14, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.037965, 0.000380, 3.796458, 0.039079, 3.986712, -0.111689, 0.100000, -0.410775, 1.000000, 0.349066, 0.344957, 0.000000, 0.039079, 3.796458, -0.111689, -15.000000, 0.344957, -15.000000, -30.000000, 0.037965, 0.000380, -10.000000, 3.986712
15, 0.15, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.036598, 0.000366, 3.659810, 0.024494, 3.890055, -0.114244, 0.100000, -0.255498, 1.000000, 0.349066, 0.343814, 0.000000, 0.024494, 3.659810, -0.114244, -15.000000, 0.343814, -15.000000, -30.000000, 0.036598, 0.000366, -10.000000, 3.890055
16, 0.16, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.035587, 0.000356, 3.558681, 0.013528, 3.820519, -0.115632, 0.100000, -0.138861, 1.000000, 0.349066, 0.342658, 0.000000, 0.013528, 3.558681, -0.115632, -15.000000, 0.342658, -15.000000, -30.000000, 0.035587, 0.000356, -10.000000, 3.820519
17, 0.17, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.034855, 0.000349, 3.485497, 0.005702, 3.771928, -0.116190, 0.100000, -0.055717, 1.000000, 0.349066, 0.341496, 0.000000, 0.005702, 3.485497, -0.116190, -15.000000, 0.341496, -15.000000, -30.000000, 0.034855, 0.000349, -10.000000, 3.771928
18, 0.18, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.034342, 0.000343, 3.434209, 0.000345, 3.738604, -0.116178, 0.100000, 0.001116, 1.000000, 0.349066, 0.340334, 0.000000, 0.000345, 3.434209, -0.116178, -15.000000, 0.340334, -15.000000, -30.000000, 0.034342, 0.000343, -10.000000, 3.738604
19, 0.19, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033990, 0.000340, 3.399045, -0.003078, 3.716062, -0.115805, 0.100000, 0.037367, 1.000000, 0.349066, 0.339176, 0.000000, -0.003078, 3.399045, -0.115805, -15.000000, 0.339176, -15.000000, -30.000000, 0.033990, 0.000340, -10.000000, 3.716062
20, 0.2, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033754, 0.000338, 3.375441, -0.005078, 3.700675, -0.115220, 0.100000, 0.058491, 1.000000, 0.349066, 0.338024, 0.000000, -0.005078, 3.375441, -0.115220, -15.000000, 0.338024, -15.000000, -30.000000, 0.033754, 0.000338, -10.000000, 3.700675
21, 0.21, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033596, 0.000336, 3.359633, -0.006059, 3.689734, -0.114532, 0.100000, 0.068798, 1.000000, 0.349066, 0.336879, 0.000000, -0.006059, 3.359633, -0.114532, -15.000000, 0.336879, -15.000000, -30.000000, 0.033596, 0.000336, -10.000000, 3.689734
22, 0.22, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033488, 0.000335, 3.348795, -0.006356, 3.681246, -0.113814, 0.100000, 0.071835, 1.000000, 0.349066, 0.335741, 0.000000, -0.006356, 3.348795, -0.113814, -15.000000, 0.335741, -15.000000, -30.000000, 0.033488, 0.000335, -10.000000, 3.681246
23, 0.23, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033408, 0.000334, 3.340809, -0.006217, 3.673833, -0.113111, 0.100000, 0.070266, 1.000000, 0.349066, 0.334610, 0.000000, -0.006217, 3.340809, -0.113111, -15.000000, 0.334610, -15.000000, -30.000000, 0.033408, 0.000334, -10.000000, 3.673833
24, 0.24, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033342, 0.000333, 3.334196, -0.005830, 3.666583, -0.112450, 0.100000, 0.066085, 1.000000, 0.349066, 0.333485, 0.000000, -0.005830, 3.334196, -0.112450, -15.000000, 0.333485, -15.000000, -30.000000, 0.033342, 0.000333, -10.000000, 3.666583
25, 0.25, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033280, 0.000333, 3.327957, -0.005328, 3.658947, -0.111843, 0.100000, 0.060680, 1.000000, 0.349066, 0.332367, 0.000000, -0.005328, 3.327957, -0.111843, -15.000000, 0.332367, -15.000000, -30.000000, 0.033280, 0.000333, -10.000000, 3.658947
26, 0.26, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033215, 0.000332, 3.321472, -0.004797, 3.650630, -0.111293, 0.100000, 0.054990, 1.000000, 0.349066, 0.331254, 0.000000, -0.004797, 3.321472, -0.111293, -15.000000, 0.331254, -15.000000, -30.000000, 0.033215, 0.000332, -10.000000, 3.650630
27, 0.27, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033144, 0.000331, 3.314394, -0.004293, 3.641517, -0.110797, 0.100000, 0.049593, 1.000000, 0.349066, 0.330146, 0.000000, -0.004293, 3.314394, -0.110797, -15.000000, 0.330146, -15.000000, -30.000000, 0.033144, 0.000331, -10.000000, 3.641517
28, 0.28, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.033066, 0.000331, 3.306567, -0.003848, 3.631607, -0.110349, 0.100000, 0.044814, 1.000000, 0.349066, 0.329042, 0.000000, -0.003848, 3.306567, -0.110349, -15.000000, 0.329042, -15.000000, -30.000000, 0.033066, 0.000331, -10.000000, 3.631607
29, 0.29, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032980, 0.000330, 3.297963, -0.003473, 3.620971, -0.109941, 0.100000, 0.040795, 1.000000, 0.349066, 0.327943, 0.000000, -0.003473, 3.297963, -0.109941, -15.000000, 0.327943, -15.000000, -30.000000, 0.032980, 0.000330, -10.000000, 3.620971
30, 0.3, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032886, 0.000329, 3.288634, -0.003172, 3.609712, -0.109566, 0.100000, 0.037558, 1.000000, 0.349066, 0.326847, 0.000000, -0.003172, 3.288634, -0.109566, -15.000000, 0.326847, -15.000000, -30.000000, 0.032886, 0.000329, -10.000000, 3.609712
31, 0.31, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032787, 0.000328, 3.278674, -0.002939, 3.597950, -0.109215, 0.100000, 0.035054, 1.000000, 0.349066, 0.325755, 0.000000, -0.002939, 3.278674, -0.109215, -15.000000, 0.325755, -15.000000, -30.000000, 0.032787, 0.000328, -10.000000, 3.597950
32, 0.32, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032682, 0.000327, 3.268192, -0.002768, 3.585800, -0.108883, 0.100000, 0.033191, 1.000000, 0.349066, 0.324666, 0.000000, -0.002768, 3.268192, -0.108883, -15.000000, 0.324666, -15.000000, -30.000000, 0.032682, 0.000327, -10.000000, 3.585800
33, 0.33, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032573, 0.000326, 3.257303, -0.002646, 3.573367, -0.108565, 0.100000, 0.031863, 1.000000, 0.349066, 0.323581, 0.000000, -0.002646, 3.257303, -0.108565, -15.000000, 0.323581, -15.000000, -30.000000, 0.032573, 0.000326, -10.000000, 3.573367
34, 0.34, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032461, 0.000325, 3.246110, -0.002565, 3.560740, -0.108255, 0.100000, 0.030961, 1.000000, 0.349066, 0.322498, 0.000000, -0.002565, 3.246110, -0.108255, -15.000000, 0.322498, -15.000000, -30.000000, 0.032461, 0.000325, -10.000000, 3.560740
35, 0.35, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032347, 0.000323, 3.234704, -0.002515, 3.547993, -0.107951, 0.100000, 0.030387, 1.000000, 0.349066, 0.321418, 0.000000, -0.002515, 3.234704, -0.107951, -15.000000, 0.321418, -15.000000, -30.000000, 0.032347, 0.000323, -10.000000, 3.547993
36, 0.36, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032232, 0.000322, 3.223162, -0.002488, 3.535184, -0.107651, 0.100000, 0.030054, 1.000000, 0.349066, 0.320342, 0.000000, -0.002488, 3.223162, -0.107651, -15.000000, 0.320342, -15.000000, -30.000000, 0.032232, 0.000322, -10.000000, 3.535184
37, 0.37, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.032115, 0.000321, 3.211542, -0.002476, 3.522355, -0.107352, 0.100000, 0.029889, 1.000000, 0.349066, 0.319268, 0.000000, -0.002476, 3.211542, -0.107352, -15.000000, 0.319268, -15.000000, -30.000000, 0.032115, 0.000321, -10.000000, 3.522355
38, 0.38, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031999, 0.000320, 3.199890, -0.002475, 3.509539, -0.107053, 0.100000, 0.029837, 1.000000, 0.349066, 0.318198, 0.000000, -0.002475, 3.199890, -0.107053, -15.000000, 0.318198, -15.000000, -30.000000, 0.031999, 0.000320, -10.000000, 3.509539
39, 0.39, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031882, 0.000319, 3.188240, -0.002481, 3.496757, -0.106755, 0.100000, 0.029854, 1.000000, 0.349066, 0.317130, 0.000000, -0.002481, 3.188240, -0.106755, -15.000000, 0.317130, -15.000000, -30.000000, 0.031882, 0.000319, -10.000000, 3.496757
40, 0.4, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031766, 0.000318, 3.176614, -0.002490, 3.484021, -0.106456, 0.100000, 0.029907, 1.000000, 0.349066, 0.316066, 0.000000, -0.002490, 3.176614, -0.106456, -15.000000, 0.316066, -15.000000, -30.000000, 0.031766, 0.000318, -10.000000, 3.484021
41, 0.41, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031650, 0.000317, 3.165028, -0.002501, 3.471342, -0.106156, 0.100000, 0.029976, 1.000000, 0.349066, 0.315004, 0.000000, -0.002501, 3.165028, -0.106156, -15.000000, 0.315004, -15.000000, -30.000000, 0.031650, 0.000317, -10.000000, 3.471342
42, 0.42, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031535, 0.000315, 3.153492, -0.002512, 3.458721, -0.105856, 0.100000, 0.030046, 1.000000, 0.349066, 0.313946, 0.000000, -0.002512, 3.153492, -0.105856, -15.000000, 0.313946, -15.000000, -30.000000, 0.031535, 0.000315, -10.000000, 3.458721
43, 0.43, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031420, 0.000314, 3.142009, -0.002522, 3.446162, -0.105554, 0.100000, 0.030107, 1.000000, 0.349066, 0.312890, 0.000000, -0.002522, 3.142009, -0.105554, -15.000000, 0.312890, -15.000000, -30.000000, 0.031420, 0.000314, -10.000000, 3.446162
44, 0.44, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031306, 0.000313, 3.130582, -0.002530, 3.433662, -0.105253, 0.100000, 0.030156, 1.000000, 0.349066, 0.311838, 0.000000, -0.002530, 3.130582, -0.105253, -15.000000, 0.311838, -15.000000, -30.000000, 0.031306, 0.000313, -10.000000, 3.433662
45, 0.45, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031192, 0.000312, 3.119211, -0.002537, 3.421220, -0.104951, 0.100000, 0.030189, 1.000000, 0.349066, 0.310788, 0.000000, -0.002537, 3.119211, -0.104951, -15.000000, 0.310788, -15.000000, -30.000000, 0.031192, 0.000312, -10.000000, 3.421220
46, 0.46, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.031079, 0.000311, 3.107893, -0.002543, 3.408835, -0.104649, 0.100000, 0.030209, 1.000000, 0.349066, 0.309742, 0.000000, -0.002543, 3.107893, -0.104649, -15.000000, 0.309742, -15.000000, -30.000000, 0.031079, 0.000311, -10.000000, 3.408835
47, 0.47, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030966, 0.000310, 3.096629, -0.002548, 3.396503, -0.104347, 0.100000, 0.030215, 1.000000, 0.349066, 0.308698, 0.000000, -0.002548, 3.096629, -0.104347, -15.000000, 0.308698, -15.000000, -30.000000, 0.030966, 0.000310, -10.000000, 3.396503
48, 0.48, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030854, 0.000309, 3.085414, -0.002551, 3.384223, -0.104045, 0.100000, 0.030209, 1.000000, 0.349066, 0.307658, 0.000000, -0.002551, 3.085414, -0.104045, -15.000000, 0.307658, -15.000000, -30.000000, 0.030854, 0.000309, -10.000000, 3.384223
49, 0.49, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030742, 0.000307, 3.074247, -0.002554, 3.371993, -0.103743, 0.100000, 0.030194, 1.000000, 0.349066, 0.306620, 0.000000, -0.002554, 3.074247, -0.103743, -15.000000, 0.306620, -15.000000, -30.000000, 0.030742, 0.000307, -10.000000, 3.371993
50, 0.5, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030631, 0.000306, 3.063126, -0.002555, 3.359810, -0.103441, 0.100000, 0.030172, 1.000000, 0.349066, 0.305586, 0.000000, -0.002555, 3.063126, -0.103441, -15.000000, 0.305586, -15.000000, -30.000000, 0.030631, 0.000306, -10.000000, 3.359810
51, 0.51, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030520, 0.000305, 3.052050, -0.002557, 3.347674, -0.103140, 0.100000, 0.030143, 1.000000, 0.349066, 0.304554, 0.000000, -0.002557, 3.052050, -0.103140, -15.000000, 0.304554, -15.000000, -30.000000, 0.030520, 0.000305, -10.000000, 3.347674
52, 0.52, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030410, 0.000304, 3.041016, -0.002557, 3.335584, -0.102838, 0.100000, 0.030110, 1.000000, 0.349066, 0.303526, 0.000000, -0.002557, 3.041016, -0.102838, -15.000000, 0.303526, -15.000000, -30.000000, 0.030410, 0.000304, -10.000000, 3.335584
53, 0.53, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030300, 0.000303, 3.030024, -0.002558, 3.323538, -0.102538, 0.100000, 0.030074, 1.000000, 0.349066, 0.302501, 0.000000, -0.002558, 3.030024, -0.102538, -15.000000, 0.302501, -15.000000, -30.000000, 0.030300, 0.000303, -10.000000, 3.323538
54, 0.54, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030191, 0.000302, 3.019073, -0.002558, 3.311537, -0.102237, 0.100000, 0.030036, 1.000000, 0.349066, 0.301478, 0.000000, -0.002558, 3.019073, -0.102237, -15.000000, 0.301478, -15.000000, -30.000000, 0.030191, 0.000302, -10.000000, 3.311537
55, 0.55, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.030082, 0.000301, 3.008163, -0.002558, 3.299578, -0.101937, 0.100000, 0.029996, 1.000000, 0.349066, 0.300459, 0.000000, -0.002558, 3.008163, -0.101937, -15.000000, 0.300459, -15.000000, -30.000000, 0.030082, 0.000301, -10.000000, 3.299578
56, 0.56, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029973, 0.000300, 2.997292, -0.002557, 3.287663, -0.101638, 0.100000, 0.029955, 1.000000, 0.349066, 0.299443, 0.000000, -0.002557, 2.997292, -0.101638, -15.000000, 0.299443, -15.000000, -30.000000, 0.029973, 0.000300, -10.000000, 3.287663
57, 0.57, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029865, 0.000299, 2.986460, -0.002557, 3.275791, -0.101339, 0.100000, 0.029913, 1.000000, 0.349066, 0.298429, 0.000000, -0.002557, 2.986460, -0.101339, -15.000000, 0.298429, -15.000000, -30.000000, 0.029865, 0.000299, -10.000000, 3.275791
58, 0.58, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029757, 0.000298, 2.975667, -0.002557, 3.263962, -0.101040, 0.100000, 0.029871, 1.000000, 0.349066, 0.297419, 0.000000, -0.002557, 2.975667, -0.101040, -15.000000, 0.297419, -15.000000, -30.000000, 0.029757, 0.000298, -10.000000, 3.263962
59, 0.59, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029649, 0.000296, 2.964914, -0.002556, 3.252175, -0.100742, 0.100000, 0.029829, 1.000000, 0.349066, 0.296411, 0.000000, -0.002556, 2.964914, -0.100742, -15.000000, 0.296411, -15.000000, -30.000000, 0.029649, 0.000296, -10.000000, 3.252175
60, 0.6, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029542, 0.000295, 2.954199, -0.002556, 3.240430, -0.100444, 0.100000, 0.029786, 1.000000, 0.349066, 0.295407, 0.000000, -0.002556, 2.954199, -0.100444, -15.000000, 0.295407, -15.000000, -30.000000, 0.029542, 0.000295, -10.000000, 3.240430
61, 0.61, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029435, 0.000294, 2.943522, -0.002555, 3.228728, -0.100146, 0.100000, 0.029743, 1.000000, 0.349066, 0.294405, 0.000000, -0.002555, 2.943522, -0.100146, -15.000000, 0.294405, -15.000000, -30.000000, 0.029435, 0.000294, -10.000000, 3.228728
62, 0.62, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029329, 0.000293, 2.932884, -0.002555, 3.217068, -0.099849, 0.100000, 0.029700, 1.000000, 0.349066, 0.293407, 0.000000, -0.002555, 2.932884, -0.099849, -15.000000, 0.293407, -15.000000, -30.000000, 0.029329, 0.000293, -10.000000, 3.217068
63, 0.63, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029223, 0.000292, 2.922285, -0.002554, 3.205450, -0.099553, 0.100000, 0.029657, 1.000000, 0.349066, 0.292411, 0.000000, -0.002554, 2.922285, -0.099553, -15.000000, 0.292411, -15.000000, -30.000000, 0.029223, 0.000292, -10.000000, 3.205450
64, 0.64, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029117, 0.000291, 2.911723, -0.002553, 3.193874, -0.099257, 0.100000, 0.029613, 1.000000, 0.349066, 0.291419, 0.000000, -0.002553, 2.911723, -0.099257, -15.000000, 0.291419, -15.000000, -30.000000, 0.029117, 0.000291, -10.000000, 3.193874
65, 0.65, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.029012, 0.000290, 2.901200, -0.002553, 3.182339, -0.098961, 0.100000, 0.029570, 1.000000, 0.349066, 0.290429, 0.000000, -0.002553, 2.901200, -0.098961, -15.000000, 0.290429, -15.000000, -30.000000, 0.029012, 0.000290, -10.000000, 3.182339
66, 0.66, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028907, 0.000289, 2.890715, -0.002552, 3.170847, -0.098666, 0.100000, 0.029525, 1.000000, 0.349066, 0.289443, 0.000000, -0.002552, 2.890715, -0.098666, -15.000000, 0.289443, -15.000000, -30.000000, 0.028907, 0.000289, -10.000000, 3.170847
67, 0.67, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028803, 0.000288, 2.880268, -0.002551, 3.159396, -0.098371, 0.100000, 0.029481, 1.000000, 0.349066, 0.288459, 0.000000, -0.002551, 2.880268, -0.098371, -15.000000, 0.288459, -15.000000, -30.000000, 0.028803, 0.000288, -10.000000, 3.159396
68, 0.68, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028699, 0.000287, 2.869859, -0.002550, 3.147986, -0.098077, 0.100000, 0.029436, 1.000000, 0.349066, 0.287478, 0.000000, -0.002550, 2.869859, -0.098077, -15.000000, 0.287478, -15.000000, -30.000000, 0.028699, 0.000287, -10.000000, 3.147986
69, 0.69, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028595, 0.000286, 2.859487, -0.002549, 3.136618, -0.097783, 0.100000, 0.029390, 1.000000, 0.349066, 0.286500, 0.000000, -0.002549, 2.859487, -0.097783, -15.000000, 0.286500, -15.000000, -30.000000, 0.028595, 0.000286, -10.000000, 3.136618
70, 0.7, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028492, 0.000285, 2.849153, -0.002548, 3.125291, -0.097489, 0.100000, 0.029345, 1.000000, 0.349066, 0.285525, 0.000000, -0.002548, 2.849153, -0.097489, -15.000000, 0.285525, -15.000000, -30.000000, 0.028492, 0.000285, -10.000000, 3.125291
71, 0.71, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028389, 0.000284, 2.838857, -0.002547, 3.114005, -0.097196, 0.100000, 0.029299, 1.000000, 0.349066, 0.284553, 0.000000, -0.002547, 2.838857, -0.097196, -15.000000, 0.284553, -15.000000, -30.000000, 0.028389, 0.000284, -10.000000, 3.114005
72, 0.72, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028286, 0.000283, 2.828598, -0.002546, 3.102759, -0.096904, 0.100000, 0.029252, 1.000000, 0.349066, 0.283584, 0.000000, -0.002546, 2.828598, -0.096904, -15.000000, 0.283584, -15.000000, -30.000000, 0.028286, 0.000283, -10.000000, 3.102759
73, 0.73, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028184, 0.000282, 2.818376, -0.002544, 3.091555, -0.096612, 0.100000, 0.029205, 1.000000, 0.349066, 0.282618, 0.000000, -0.002544, 2.818376, -0.096612, -15.000000, 0.282618, -15.000000, -30.000000, 0.028184, 0.000282, -10.000000, 3.091555
74, 0.74, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.028082, 0.000281, 2.808191, -0.002543, 3.080391, -0.096320, 0.100000, 0.029158, 1.000000, 0.349066, 0.281655, 0.000000, -0.002543, 2.808191, -0.096320, -15.000000, 0.281655, -15.000000, -30.000000, 0.028082, 0.000281, -10.000000, 3.080391
75, 0.75, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.027980, 0.000280, 2.798044, -0.002542, 3.069268, -0.096029, 0.100000, 0.029110, 1.000000, 0.349066, 0.280695, 0.000000, -0.002542, 2.798044, -0.096029, -15.000000, 0.280695, -15.000000, -30.000000, 0.027980, 0.000280, -10.000000, 3.069268
76, 0.76, 1.000000, 0.100000, 1.000000, 0.000000, 0.000000, 0.027879, 0.000279, 2.787933, -0.002540, 3.058184, -0.095738, 0.100000, 0.029062, 1.000000, 0.349066, 0.279737, 0.000000, -0.002540, 2.787933, -0.095738, -15.000000, 0.279737, -15.000000, -30.000000, 0.027879, 0.000279, -10.000000, 3.058184
